category,total_orders,total_products,total_customers,revenue,avg_product_order_value
"Health Beauty",8830,8830,8647,1412089.53,159.92
"Watches Gifts",5670,5670,5495,1264333.12,222.99
"Bed Bath Table",10009,10009,9272,1225209.26,122.41
"Sports Leisure",7666,7666,7530,1118256.91,145.87
"Computers Accessories",6724,6724,6530,1032723.77,153.59
"Furniture Decor",6636,6636,6307,880329.92,132.66
Housewares,5878,5878,5743,758392.25,129.02
"Cool Stuff",3584,3584,3559,691680.89,192.99
Auto,3902,3902,3810,669454.75,171.57
"Garden Tools",3537,3537,3448,567145.68,160.35
