category,review_score,total_orders,total_customers
"Agro Industry And Commerce",5,92,92
"Air Conditioning",5,142,142
Art,5,111,111
"Arts And Craftmanship",5,15,15
Audio,5,184,184
Auto,5,2205,2205
Baby,5,1630,1630
"Bed Bath Table",5,4966,4966
"Books General Interest",5,368,368
"Books Imported",5,38,38
"Books Technical",5,183,183
"Cds Dvds Musicals",5,9,9
"Christmas Supplies",5,65,65
"Cine Photo",5,45,45
Computers,5,107,107
"Computers Accessories",5,3690,3690
"Consoles Games",5,594,594
"Construction Tools Construction",5,429,429
"Construction Tools Lights",5,131,131
"Construction Tools Safety",5,86,86
"Cool Stuff",5,2140,2140
"Costruction Tools Garden",5,121,121
"Costruction Tools Tools",5,65,65
"Diapers And Hygiene",5,12,12
Drinks,5,173,173
"Dvds Blu Ray",5,35,35
Electronics,5,1418,1418
"Fashio Female Clothing",5,18,18
"Fashion Bags Accessories",5,1100,1100
"Fashion Childrens Clothes",5,7,7
"Fashion Male Clothing",5,57,57
"Fashion Shoes",5,149,149
"Fashion Sport",5,17,17
"Fashion Underwear Beach",5,59,59
"Fixed Telephony",5,110,110
Flowers,5,19,19
Food,5,287,287
"Food Drink",5,147,147
"Furniture Bedroom",5,58,58
"Furniture Decor",5,3572,3572
"Furniture Living Room",5,225,225
"Furniture Mattress And Upholstery",5,19,19
"Garden Tools",5,2053,2053
"Health Beauty",5,5385,5385
"Home Appliances",5,454,454
"Home Appliances 2",5,126,126
"Home Comfort 2",5,12,12
"Home Confort",5,210,210
"Home Construction",5,250,250
Housewares,5,3443,3443
"Industry Commerce And Business",5,138,138
"Kitchen Dining Laundry Garden Furniture",5,133,133
"La Cuisine",5,9,9
"Luggage Accessories",5,670,670
"Market Place",5,146,146
Music,5,24,24
"Musical Instruments",5,374,374
"Office Furniture",5,499,499
"Party Supplies",5,23,23
Perfumery,5,2011,2011
"Pet Shop",5,1072,1072
"Signaling And Security",5,78,78
"Small Appliances",5,382,382
"Small Appliances Home Oven And Coffee",5,49,49
"Sports Leisure",5,4626,4626
Stationery,5,1428,1428
"Tablets Printing Image",5,41,41
Telephony,5,2194,2194
Toys,5,2381,2381
Unknown,5,773,773
"Watches Gifts",5,3194,3194
"Agro Industry And Commerce",4,50,50
"Air Conditioning",4,47,47
Art,4,37,37
"Arts And Craftmanship",4,3,3
Audio,4,53,53
Auto,4,805,805
Baby,4,518,518
"Bed Bath Table",4,1858,1858
"Books General Interest",4,76,76
"Books Imported",4,5,5
"Books Technical",4,39,39
"Cds Dvds Musicals",4,2,2
"Christmas Supplies",4,33,33
"Cine Photo",4,6,6
Computers,4,37,37
"Computers Accessories",4,1341,1341
"Consoles Games",4,197,197
"Construction Tools Construction",4,142,142
"Construction Tools Lights",4,55,55
"Construction Tools Safety",4,33,33
"Cool Stuff",4,714,714
"Costruction Tools Garden",4,36,36
"Costruction Tools Tools",4,20,20
"Diapers And Hygiene",4,6,6
Drinks,4,64,64
"Dvds Blu Ray",4,12,12
Electronics,4,552,552
"Fashio Female Clothing",4,6,6
"Fashion Bags Accessories",4,381,381
"Fashion Male Clothing",4,17,17
"Fashion Shoes",4,40,40
"Fashion Sport",4,5,5
"Fashion Underwear Beach",4,30,30
"Fixed Telephony",4,46,46
Flowers,4,5,5
Food,4,84,84
"Food Drink",4,42,42
"Furniture Bedroom",4,17,17
"Furniture Decor",4,1182,1182
"Furniture Living Room",4,85,85
"Furniture Mattress And Upholstery",4,8,8
"Garden Tools",4,684,684
"Health Beauty",4,1578,1578
"Home Appliances",4,155,155
"Home Appliances 2",4,55,55
"Home Comfort 2",4,4,4
"Home Confort",4,57,57
"Home Construction",4,110,110
Housewares,4,1109,1109
"Industry Commerce And Business",4,48,48
"Kitchen Dining Laundry Garden Furniture",4,53,53
"La Cuisine",4,1,1
"Luggage Accessories",4,193,193
"Market Place",4,63,63
Music,4,6,6
"Musical Instruments",4,121,121
"Office Furniture",4,292,292
"Party Supplies",4,5,5
Perfumery,4,498,498
"Pet Shop",4,309,309
"Security And Services",4,1,1
"Signaling And Security",4,27,27
"Small Appliances",4,119,119
"Small Appliances Home Oven And Coffee",4,14,14
"Sports Leisure",4,1471,1471
Stationery,4,451,451
"Tablets Printing Image",4,21,21
Telephony,4,892,892
Toys,4,680,680
Unknown,4,285,285
"Watches Gifts",4,1045,1045
"Agro Industry And Commerce",3,13,13
"Air Conditioning",3,19,19
Art,3,18,18
"Arts And Craftmanship",3,2,2
Audio,3,33,33
Auto,3,292,292
Baby,3,243,243
"Bed Bath Table",3,923,923
"Books General Interest",3,17,17
"Books Imported",3,2,2
"Books Technical",3,9,9
"Cds Dvds Musicals",3,1,1
"Christmas Supplies",3,11,11
"Cine Photo",3,5,5
Computers,3,10,10
"Computers Accessories",3,536,536
"Consoles Games",3,107,107
"Construction Tools Construction",3,64,64
"Construction Tools Lights",3,28,28
"Construction Tools Safety",3,12,12
"Cool Stuff",3,281,281
"Costruction Tools Garden",3,10,10
"Costruction Tools Tools",3,1,1
"Diapers And Hygiene",3,4,4
Drinks,3,21,21
"Dvds Blu Ray",3,1,1
Electronics,3,198,198
"Fashio Female Clothing",3,6,6
"Fashion Bags Accessories",3,151,151
"Fashion Male Clothing",3,7,7
"Fashion Shoes",3,18,18
"Fashion Sport",3,2,2
"Fashion Underwear Beach",3,8,8
