state,total_orders,late_orders,late_pct,avg_days_late
AC,3,3,0.05,18.67
AL,85,85,1.30,9.54
AM,4,4,0.06,30.25
AP,2,2,0.03,72.50
BA,396,396,6.06,12.02
CE,176,176,2.69,15.18
DF,118,118,1.81,7.42
ES,214,214,3.28,11.30
GO,128,128,1.96,11.37
MA,125,125,1.91,10.50
MG,519,519,7.94,8.40
MS,68,68,1.04,8.34
MT,53,53,0.81,10.64
PA,106,106,1.62,12.82
PB,54,54,0.83,10.33
PE,153,153,2.34,11.97
PI,66,66,1.01,13.35
PR,199,199,3.05,8.32
RJ,1495,1495,22.88,13.52
RN,44,44,0.67,14.48
RO,7,7,0.11,5.57
RR,5,5,0.08,36.40
RS,325,325,4.97,10.24
SC,291,291,4.45,8.31
SE,51,51,0.78,16.20
SP,1820,1820,27.85,8.33
TO,27,27,0.41,6.52
